franchise,band,pos,q_observed,q_league,q_shrunk,lift,n_picks,shrink_k,source,basis,confidence
Mike Long,rd4-6,TE,0.0695,0.1351,0.1249,0.9242,12,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd4-6,TE,0.2862,0.1351,0.1919,1.4199,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd4-6,TE,0.1422,0.1351,0.1372,1.0153,27,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd4-6,TE,0.1297,0.1351,0.1331,0.985,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd4-6,TE,0.0564,0.1351,0.1056,0.7813,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd4-6,TE,0.135,0.1351,0.1351,0.9997,39,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd4-6,TE,0.113,0.1351,0.1269,0.9395,38,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd4-6,TE,0.311,0.1351,0.1868,1.3826,27,64.9,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd4-6,K,0.0,0.0,0.0,1.0,12,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd4-6,K,0.0,0.0,0.0,1.0,15,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd4-6,K,0.0,0.0,0.0,1.0,23,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd4-6,K,0.0,0.0,0.0,1.0,12,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd4-6,K,0.0,0.0,0.0,1.0,27,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd4-6,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd4-6,K,0.0,0.0,0.0,1.0,38,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd4-6,K,0.0,0.0,0.0,1.0,27,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd4-6,DEF,0.0131,0.0054,0.0087,1.6178,39,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd4-6,DEF,0.0,0.0054,0.0031,0.5723,39,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd4-6,DEF,0.0,0.0054,0.0031,0.5723,39,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd4-6,DEF,0.0248,0.0054,0.0137,2.5493,39,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd4-6,DEF,0.0,0.0054,0.0044,0.813,12,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd4-6,DEF,0.0,0.0054,0.0042,0.7767,15,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd4-6,DEF,0.0633,0.0054,0.0231,4.301,23,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd4-6,DEF,0.0,0.0054,0.0044,0.813,12,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd4-6,DEF,0.0,0.0054,0.0031,0.5723,39,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd4-6,DEF,0.0,0.0054,0.0035,0.659,27,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd4-6,DEF,0.0,0.0054,0.0031,0.5723,39,52.2,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
