season,week,posteam,plays,pass_rate,xpass_rate,proe
2020,17,DAL,74,0.6891891891891889,0.627708076625257,6.1481112563931966
2020,17,DEN,74,0.5810810810810814,0.6105345300323254,-2.945344895124402
2020,17,DET,55,0.6363636363636361,0.6122183312069286,2.414530515670754
2020,17,GB,43,0.5813953488372094,0.5262478958208894,5.514745301632007
2020,17,HOU,58,0.7586206896551723,0.6562785835101687,10.23421061450036
2020,17,IND,63,0.44444444444444425,0.5687680737011962,-12.432362925675195
2020,17,JAX,59,0.7118644067796611,0.6825565513917956,2.930785538786551
2020,17,KC,49,0.6530612244897958,0.566870320512324,8.619090397747176
2020,17,LA,68,0.5882352941176472,0.5871672969147126,0.10679972029346008
2020,17,LAC,64,0.515625,0.5193295579520054,-0.3704557952005416
2020,17,LV,61,0.6393442622950816,0.699769087746495,-6.042482545141348
2020,17,MIA,80,0.7749999999999998,0.6915145026519894,8.348549734801036
2020,17,MIN,68,0.5882352941176472,0.5880627456833334,0.017254843431380174
2020,17,NE,60,0.5166666666666664,0.540351799223572,-2.368513255690563
2020,17,NO,61,0.5409836065573769,0.523462606685572,1.7520999871804888
2020,17,NYG,50,0.5400000000000003,0.5525367571413518,-1.2536757141351496
2020,17,NYJ,59,0.5762711864406778,0.6269864551091598,-5.071526866848208
2020,17,PHI,62,0.6290322580645162,0.6169300370158688,1.2102221048647444
2020,17,PIT,65,0.707692307692308,0.7150549906950731,-0.7362683002765102
2020,17,SEA,62,0.6451612903225808,0.5657889358699322,7.937235445264868
2020,17,SF,61,0.6229508196721314,0.6764431781456118,-5.349235847348044
2020,17,TB,59,0.694915254237288,0.527152297355361,16.7762956881927
2020,17,TEN,67,0.4328358208955222,0.5916557191912807,-15.881989829575849
2020,17,WAS,59,0.542372881355932,0.6130836131840439,-7.071073182811194
2020,18,BAL,57,0.4385964912280701,0.5452310016803574,-10.663451045228733
2020,18,BUF,56,0.6785714285714284,0.5705797467380762,10.799168183335217
2020,18,CHI,48,0.6666666666666666,0.70484582955638575,-3.817916288971912
2020,18,CLE,62,0.5806451612903227,0.5356949940924683,4.495016719785438
2020,18,IND,77,0.6103896103896104,0.6847986793750293,-7.440906898541888
2020,18,LA,66,0.39393939393939376,0.49341262035974953,-9.947322642035578
2020,18,NO,74,0.5270270270270271,0.5415210845704014,-1.4494057543374295
2020,18,PIT,87,0.8160919540229883,0.7174912954884014,9.86006585345869
2020,18,SEA,52,0.596153846153846,0.6984541416168213,-10.230029546297526
2020,18,TB,67,0.5970149253731343,0.5742122679948807,2.28026573782536
2020,18,TEN,48,0.5625,0.6256495683143537,-6.31495683143537
2020,18,WAS,68,0.75,0.6809220633962576,6.90779366037424
2020,19,BAL,68,0.6176470588235297,0.7226688414812088,-10.502178265767913
2020,19,BUF,49,0.7755102040816328,0.546216648908294,22.92935551733388
2020,19,CLE,59,0.6271186440677969,0.6502541924937296,-2.3135548425932684
2020,19,GB,71,0.5492957746478871,0.5241144932281805,2.518128141970666
2020,19,KC,60,0.6499999999999998,0.5753294191012779,7.467058089872191
2020,19,LA,47,0.6170212765957446,0.6645836348229266,-4.756235822718202
2020,19,NO,60,0.5833333333333331,0.5984273662169775,-1.5094032883644304
2020,19,TB,65,0.5076923076923077,0.5831657777612027,-7.547347006889504
2020,20,BUF,67,0.8059701492537312,0.6671297841552478,13.884036509848341
2020,20,GB,65,0.7538461538461535,0.6360540009461917,11.77921528999618
2020,20,KC,59,0.6440677966101694,0.4551407828043073,18.892701380586214
2020,20,TB,59,0.6101694915254237,0.5708193148849372,3.9350176640486456
2020,21,KC,65,0.8153846153846154,0.7148643301083492,10.052028527626621
2020,21,TB,59,0.49152542372881386,0.49387397149861867,-0.23485477698048096
2021,1,ARI,65,0.5076923076923077,0.5501197747313059,-4.242746703899824
2021,1,ATL,61,0.5901639344262297,0.700115516781807,-10.995158235557723
2021,1,BAL,63,0.5714285714285716,0.6067985405051519,-3.53699690765803
2021,1,BUF,76,0.6842105263157895,0.6688904991667521,1.5320027149037352
2021,1,CAR,59,0.593220338983051,0.5714880255824428,2.1732313400608216
2021,1,CHI,66,0.6363636363636361,0.6372940291961033,-0.09303928324672084
2021,1,CIN,62,0.4193548387096772,0.605025134139484,-18.567029542980677
2021,1,CLE,55,0.5454545454545457,0.594480736418204,-4.902619096365823
2021,1,DAL,76,0.8026315789473686,0.5902714964590574,21.23600824883112
2021,1,DEN,64,0.609375,0.6119743606250267,-0.25993606250267476
2021,1,DET,83,0.7469879518072285,0.7299695865935589,1.7018365213669617
2021,1,GB,50,0.7000000000000001,0.7362404809892178,-3.6240480989217727
2021,1,HOU,73,0.4931506849315067,0.5216263217264661,-2.8475636794959347
2021,1,IND,69,0.5942028985507246,0.6815385429755502,-8.733564442482555
2021,1,JAX,66,0.7727272727272727,0.7425380692337498,3.0189203493522943
2021,1,KC,58,0.6896551724137928,0.5996763428737377,8.99788295400551
2021,1,LA,45,0.577777777777778,0.47278013858530255,10.49976391924754
2021,1,LAC,73,0.6438356164383564,0.5570379138911422,8.679770254721419
2021,1,LV,75,0.7333333333333336,0.6441333077351251,8.92000255982085
2021,1,MIA,47,0.5744680851063829,0.5645378339797893,0.9930251126593626
2021,1,MIN,71,0.6901408450704228,0.7024759364799714,-1.2335091409548582
2021,1,NE,69,0.5652173913043479,0.5939163483571314,-2.869895705278347
