season,receiver_player_id,receiver_full_name,receiver_position,targets,ep_per_target
2021,00-0035229,T.J. Hockenson,TE,86,1.9303571259914896
2021,00-0035250,Devin Singletary,RB,50,1.9584935639728793
2021,00-0035261,Tony Pollard,RB,47,2.369755592250741
2021,00-0035311,Myles Gaskin,RB,63,2.222339719910884
2021,00-0035414,Jalen Guyton,WR,48,2.166421099065701
2021,00-0035535,Darius Slayton,WR,58,1.6934404239823224
2021,00-0035537,Ty Johnson,RB,55,1.4273207990838936
2021,00-0035640,DK Metcalf,WR,129,1.7956147460240328
2021,00-0035644,Noah Fant,TE,91,1.8837478730328954
2021,00-0035659,Terry McLaurin,WR,130,1.850309477190604
2021,00-0035662,Marquise Brown,WR,147,1.909611351791112
2021,00-0035664,Darrell Henderson,RB,40,2.4679558656011067
2021,00-0035676,A.J. Brown,WR,105,2.1315457858871447
2021,00-0035685,David Montgomery,RB,51,2.0781177393019235
2021,00-0035689,Dawson Knox,TE,71,2.81499393972155
2021,00-0035700,Josh Jacobs,RB,64,2.158154645894683
2021,00-0035719,Deebo Samuel,WR,121,1.537084344022355
2021,00-0035831,James Robinson,RB,46,1.3934076968536195
2021,00-0036182,Nick Westbrook-Ikhine,WR,57,2.051431696298287
2021,00-0036196,Gabriel Davis,WR,63,2.402441235347873
2021,00-0036219,Marquez Callaway,WR,84,1.5599507559180938
2021,00-0036223,Jonathan Taylor,RB,52,1.8034595041549766
2021,00-0036233,Donovan Peoples-Jones,WR,59,1.7638493533134223
2021,00-0036247,Freddie Swain,WR,41,1.664538483608514
2021,00-0036252,Michael Pittman,WR,130,2.168141291793681
2021,00-0036261,Brandon Aiyuk,WR,86,1.5905613406465853
2021,00-0036268,Laviska Shenault,WR,100,1.4944741546292792
2021,00-0036271,Quez Watkins,WR,63,2.061242317559338
2021,00-0036275,D'Andre Swift,RB,78,1.9603909394563508
2021,00-0036290,Cole Kmet,TE,93,1.8372125080035577
2021,00-0036309,Darnell Mooney,WR,141,1.7307036141758645
2021,00-0036322,Justin Jefferson,WR,170,1.7146271670160984
2021,00-0036326,Chase Claypool,WR,105,1.846766891340459
2021,00-0036328,Antonio Gibson,RB,53,2.1715809812053757
2021,00-0036331,Devin Duvernay,WR,47,1.7773948448971457
2021,00-0036345,K.J. Osborn,WR,82,1.8710757881114062
2021,00-0036358,CeeDee Lamb,WR,121,1.817639751184836
2021,00-0036365,Bryan Edwards,WR,60,1.8976951188468452
2021,00-0036387,Jalen Reagor,WR,57,1.874782428315947
2021,00-0036407,Jerry Jeudy,WR,56,1.7124855087822652
2021,00-0036410,Tee Higgins,WR,111,1.8348061548319672
2021,00-0036415,Van Jefferson,WR,89,2.1082846999480362
2021,00-0036422,Adam Trautman,TE,44,2.305533857956269
2021,00-0036423,Albert Okwuegbunam,TE,40,1.721106027207861
2021,00-0036427,Tyler Johnson,WR,56,1.6538993052399724
2021,00-0036550,Rashod Bateman,WR,68,1.8196733767074287
2021,00-0036554,Nico Collins,WR,60,1.9663252093610937
2021,00-0036613,Jaylen Waddle,WR,140,1.7276325359612072
2021,00-0036893,Najee Harris,RB,94,1.9803538899862536
2021,00-0036894,Pat Freiermuth,TE,80,2.0357702935563777
2021,00-0036900,Ja'Marr Chase,WR,128,1.9333025182481833
2021,00-0036912,DeVonta Smith,WR,105,1.672578704535234
2021,00-0036913,Kadarius Toney,WR,57,1.6374787806427071
2021,00-0036919,Kenneth Gainwell,RB,50,2.407627438422642
2021,00-0036924,Michael Carter,RB,55,1.5376259946528907
2021,00-0036936,Rondale Moore,WR,64,1.9384869017480924
2021,00-0036963,Amon-Ra St. Brown,WR,121,2.0489524406326094
2021,00-0036970,Kyle Pitts,TE,110,2.051255011110334
2021,00-0036980,Elijah Moore,WR,78,1.7829078602985515
2021,00-0036988,Josh Palmer,WR,49,2.2669117421794405
2021,00-0036997,Javonte Williams,RB,53,1.6374281436119245
2022,00-0027942,A.J. Green,WR,49,1.7355401738147604
2022,00-0027944,Julio Jones,WR,43,2.1334815939893774
2022,00-0028002,Randall Cobb,WR,50,2.104858484423021
2022,00-0029293,Marvin Jones,WR,81,1.7223410523693472
2022,00-0030035,Adam Thielen,WR,109,2.4623734346826414
2022,00-0030061,Zach Ertz,TE,71,1.8716354902151575
2022,00-0030068,Marquise Goodwin,WR,42,2.0809059004254995
2022,00-0030279,Keenan Allen,WR,89,2.1544644475157186
2022,00-0030288,Rex Burkhead,RB,51,1.9720346341525916
2022,00-0030431,Robert Woods,WR,91,1.7210885438393893
2022,00-0030506,Travis Kelce,TE,153,2.1979106255515743
2022,00-0030564,DeAndre Hopkins,WR,98,1.8987867385178683
2022,00-0031236,Brandin Cooks,WR,93,1.6976550839877667
2022,00-0031260,Logan Thomas,TE,61,2.0741385211767325
2022,00-0031376,Jerick McKinnon,RB,72,2.5406398932073984
2022,00-0031381,Davante Adams,WR,181,2.018488697695191
2022,00-0031382,Jarvis Landry,WR,40,2.0903120432794795
2022,00-0031408,Mike Evans,WR,128,2.036700390771442
2022,00-0031428,Allen Robinson,WR,52,2.4771105548430707
2022,00-0031544,Amari Cooper,WR,132,2.0633966738206446
2022,00-0031547,DeVante Parker,WR,47,2.1804048197859145
2022,00-0031549,Nelson Agholor,WR,53,1.682645400350184
2022,00-0031588,Stefon Diggs,WR,154,2.1791291129484307
2022,00-0031610,Darren Waller,TE,44,2.4561773529226616
2022,00-0031687,Raheem Mostert,RB,42,2.1225542491717664
2022,00-0031763,DeAndre Carter,WR,65,2.2768857528782416
2022,00-0032208,Phillip Dorsett,WR,40,1.7623276540572987
2022,00-0032211,Tyler Lockett,WR,117,1.7794986406304376
