"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rec_attempt","rec_air_yards","rec_yards_gained","rec_yards_gained_exp","rec_touchdown","rec_touchdown_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","route_participation_proxy","team_rec_yds_exp","receiving_market_share"
"2020",2,"00-0031387","Eric Ebron","TE","PIT",3,3.35,5,49,43,42.63,0,0.11,7.3,8.26,-0.96,-0.11,3.35,58.1,0.733734939759036
"2020",2,"00-0030470","Vance McDonald","TE","PIT",1,1.47,2,10,3,15.47,0,0.01,1.3,3.07,-1.77,-0.01,1.47,58.1,0.266265060240964
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0035644","Noah Fant","TE","DEN",4,2.6,5,50,57,28.3,1,0.6,17.7,10.06,7.64,0.4,2.6,44.21,0.640126668174621
"2020",2,"00-0035229","T.J. Hockenson","TE","DET",4,2.92,4,19,62,32.02,0,0.01,10.2,6.16,4.04,-0.01,2.92,32.02,1
"2020",2,"00-0024243","Marcedes Lewis","TE","GB",1,0.82,1,0,4,6.09,0,0,1.4,1.45,-0.05,0,0.82,37.61,0.161925019941505
"2020",2,"00-0035671","Jace Sternberger","TE","GB",0,0.81,1,0,0,5.85,0,0.01,0,1.44,-1.44,-0.01,0.81,37.61,0.155543738367455
"2020",2,"00-0033757","Robert Tonyan","TE","GB",2,1.39,3,48,25,25.67,1,0.41,10.5,6.41,4.09,0.59,1.39,37.61,0.68253124169104
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0033858","Jonnu Smith","TE","TEN",4,3.29,5,33,84,31.64,2,0.79,24.4,11.18,13.22,1.21,3.29,69.52,0.45512082853855
"2020",2,"00-0030549","Tyler Eifert","TE","JAX",3,2.79,6,88,36,40.56,1,0.94,12.6,12.49,0.109999999999999,0.06,2.79,76.15,0.53263296126067
"2020",2,"00-0033455","Anthony Firkser","TE","TEN",4,2.71,4,41,45,37.88,0,0.08,8.5,6.96,1.54,-0.08,2.71,69.52,0.54487917146145
,,,,,,,,,,,,,,,,,,,,
"2020",2,"00-0031951","James O'Shaughnessy","TE","JAX",4,2.81,4,35,40,35.59,0,0.07,8,6.78,1.22,-0.07,2.81,76.15,0.46736703873933
