season,posteam,games,team_pass_attempts,team_carries,team_rec_yds_exp,team_rec_td_exp,team_rush_td_exp,pass_attempts_pg,carries_pg
2022,CAR,17,457,483,3151.5099999999998,17.48,13.02,26.88235294117647,28.41176470588235
2022,CHI,17,377,558,2673.2899999999995,13.479999999999999,17.679999999999996,22.176470588235293,32.8235294117647
2022,CIN,16,610,399,4296.490000000001,32.830000000000005,16.34,38.125,24.9375
2022,CLE,17,540,532,3744.92,25.760000000000005,13.239999999999998,31.764705882352942,31.294117647058822
2022,DAL,17,556,531,4196.02,26.450000000000003,18.94,32.705882352941174,31.235294117647058
2022,DEN,17,571,444,3932.1,24.779999999999998,11.56,33.588235294117645,26.11764705882353
2022,DET,17,588,480,4433.91,32.699999999999996,22.569999999999997,34.588235294117645,28.235294117647058
2022,GB,17,563,456,4038.8499999999995,30.45,12.29,33.11764705882353,26.823529411764707
2022,HOU,17,579,398,4037.27,21.38,10.79,34.05882352941177,23.41176470588235
2022,IND,17,604,439,4051.79,21.299999999999997,12.350000000000001,35.529411764705884,25.823529411764707
2022,JAX,17,596,448,4185.489999999999,28.169999999999995,18.610000000000003,35.05882352941177,26.352941176470587
2022,KC,17,651,417,4898.56,45.53000000000001,18.32,38.294117647058826,24.529411764705884
2022,LA,17,531,411,3623.1900000000005,24.719999999999995,12.700000000000001,31.235294117647058,24.176470588235293
2022,LAC,17,711,404,5058.800000000001,39.540000000000006,13.39,41.8235294117647,23.764705882352942
2022,LV,17,586,428,4586.11,29.940000000000005,11.259999999999998,34.470588235294116,25.176470588235293
2022,MIA,17,584,390,4692.12,24.190000000000005,10.19,34.35294117647059,22.941176470588236
2022,MIN,17,672,404,4955.65,36.190000000000005,17.93,39.529411764705884,23.764705882352942
2022,NE,17,540,425,3900.3300000000004,20.52,11.640000000000002,31.764705882352942,25
2022,NO,17,512,465,3813.35,19.98,11,30.11764705882353,27.352941176470587
2022,NYG,17,520,520,3479.2999999999997,13.200000000000001,17.349999999999998,30.58823529411765,30.58823529411765
2022,NYJ,17,627,405,4340.360000000001,20.160000000000004,12.860000000000003,36.88235294117647,23.823529411764707
2022,PHI,17,536,544,4140.450000000001,23.67,31.4,31.529411764705884,32
2022,PIT,17,571,500,3878.5499999999997,21.959999999999997,17.53,33.588235294117645,29.41176470588235
2022,SEA,17,573,425,4127.4400000000005,29.329999999999995,10.69,33.705882352941174,25
2022,SF,17,512,504,3706.23,22.800000000000004,23.35,30.11764705882353,29.647058823529413
2022,TB,17,751,386,5153.97,34.88999999999999,10.19,44.1764705882353,22.705882352941178
2022,TEN,17,456,487,3167.9700000000007,17.96,11.570000000000002,26.823529411764707,28.647058823529413
2022,WAS,17,554,538,3759.78,23.89,17.499999999999996,32.588235294117645,31.647058823529413
2023,ARI,17,555,471,3875.92,19.369999999999997,14.230000000000002,32.64705882352941,27.705882352941178
2023,ATL,17,530,522,3833.8300000000004,19.520000000000003,14.059999999999999,31.176470588235293,30.705882352941178
2023,BAL,17,494,541,3646.9900000000007,24.84,25.139999999999997,29.058823529411764,31.823529411764707
2023,BUF,17,579,512,4282.5599999999995,28.790000000000003,25.089999999999996,34.05882352941177,30.11764705882353
2023,CAR,17,586,445,3860.33,14.51,10.17,34.470588235294116,26.176470588235293
2023,CHI,17,513,534,3445.0400000000004,23.72,17.71,30.176470588235293,31.41176470588235
2023,CIN,17,615,383,4184.22,25.410000000000007,17.72,36.1764705882353,22.529411764705884
2023,CLE,17,624,518,4184.02,24.18,12.79,36.705882352941174,30.470588235294116
2023,DAL,17,614,468,4520.84,43.64,21.530000000000005,36.11764705882353,27.529411764705884
2023,DEN,17,513,451,3373.05,27.169999999999998,13.459999999999997,30.176470588235293,26.529411764705884
2023,DET,17,606,500,4591.23,27.839999999999996,23.64,35.64705882352941,29.41176470588235
2023,GB,17,581,441,4107.33,29.250000000000004,15.610000000000001,34.1764705882353,25.941176470588236
2023,HOU,17,592,444,4526.240000000001,27.29,17.57,34.8235294117647,26.11764705882353
2023,IND,17,574,479,4092.9300000000003,19.139999999999993,19.45,33.76470588235294,28.176470588235293
2023,JAX,17,620,453,4403.580000000001,25.79,16.549999999999997,36.470588235294116,26.647058823529413
2023,KC,17,635,417,4385.219999999999,29.78,13.750000000000002,37.35294117647059,24.529411764705884
2023,LA,17,583,477,4220.82,31.870000000000005,19.03,34.294117647058826,28.058823529411764
2023,LAC,17,632,431,4460.51,31.739999999999995,19.2,37.1764705882353,25.352941176470587
2023,LV,17,557,413,4009.36,21.55,13.310000000000002,32.76470588235294,24.294117647058822
