season,posteam,games,outdoor_share,mean_wind,mean_temp,harsh_share
2024,WAS,3,0.6732673267326733,8.712871287128714,50.41584158415841,0.31683168316831684
2025,ARI,3,0.30120481927710846,8.301204819277109,61.506024096385545,0
2025,ATL,3,0.3489583333333333,6.953125,58.60416666666667,0
2025,BAL,3,1,6.716049382716048,31.53086419753086,0.2222222222222222
2025,BUF,3,1,8.637362637362637,32.42857142857142,0.6208791208791209
2025,CAR,3,0.6496815286624203,6.089171974522295,54.91719745222931,0
2025,CHI,3,1,5.654054054054054,32.97297297297296,0.32972972972972975
2025,CIN,3,1,7.717171717171718,50.878787878787854,0.3434343434343434
2025,CLE,3,1,12.212499999999997,25.581250000000004,0.7
2025,DAL,3,0.39901477832512317,7.600985221674877,56.009852216748776,0
2025,DEN,3,1,4.75,62.290000000000006,0
2025,DET,3,0,8,60,0
2025,GB,3,1,5.929411764705878,46.635294117647064,0
2025,HOU,3,0,8,60,0
2025,IND,3,0.3433734939759036,8.343373493975903,56.90963855421687,0
2025,JAX,3,0.648936170212766,7.2659574468085095,63.80851063829787,0
2025,KC,3,1,8,57.38059701492537,0
2025,LA,3,0.4131455399061033,11.71830985915493,56.28169014084507,0.4131455399061033
2025,LAC,3,0.3333333333333333,8,60,0
2025,LV,3,0.2753623188405797,11.304347826086955,51.739130434782595,0.2753623188405797
2025,MIA,3,1,5.666666666666667,61.79487179487177,0.2948717948717949
2025,MIN,3,0.36,12.320000000000002,54.959999999999994,0.36
2025,NE,3,1,3.7840909090909087,34.00568181818182,0.6193181818181818
2025,NO,3,0.273224043715847,9.639344262295081,63.00546448087432,0
2025,NYG,3,0.6411764705882353,12.976470588235296,43.64705882352943,0.6411764705882353
2025,NYJ,3,0.6978021978021978,7.708791208791207,53.01098901098903,0.34065934065934067
2025,PHI,3,1,11.327868852459018,36.5792349726776,0.3551912568306011
2025,PIT,3,0.6421052631578947,9.678947368421055,41.673684210526325,0.3105263157894737
2025,SEA,3,1,9.300546448087433,48.24590163934427,0.33879781420765026
2025,SF,3,0.675,5.635000000000001,55.615,0
2025,TB,3,1,5.323863636363635,65.85795454545453,0
2025,TEN,3,1,9.145945945945941,59.14594594594595,0
2025,WAS,3,1,9.317241379310344,38.358620689655176,0.38620689655172413
