"season","week","player_id","full_name","position","posteam","receptions","receptions_exp","rush_attempt","rec_attempt","rush_yards_gained","rush_yards_gained_exp","rush_touchdown","rush_touchdown_exp","rec_touchdown","rec_touchdown_exp","rec_yards_gained","rec_yards_gained_exp","total_fantasy_points","total_fantasy_points_exp","total_fantasy_points_diff","total_touchdown_diff","expected_td_equity","team_rush_att","backfield_command","target_volume"
"2024",13,"00-0038611","Chris Rodriguez Jr.","RB","WAS",0,0,13,0,94,52.92,1,0.31,0,0,0,0,15.4,7.13,8.27,0.69,0.31,35,0.371428571428571,0
"2024",14,"00-0037263","Tyler Allgeier","RB","ATL",0,0,9,0,63,34.37,1,0.13,0,0,0,0,12.3,4.22,8.08,0.87,0.13,31,0.290322580645161,0
"2024",14,"00-0036414","Cam Akers","RB","MIN",0,0,5,0,37,21.65,0,0.04,0,0,0,0,3.7,2.41,1.29,-0.04,0.04,18,0.277777777777778,0
"2024",14,"00-0039738","Blake Corum","RB","LA",0,0,8,0,34,30.1,0,0.53,0,0,0,0,3.4,6.17,-2.77,-0.53,0.53,37,0.216216216216216,0
"2024",14,"00-0039344","Jonathon Brooks","RB","CAR",0,0,1,0,-3,3.78,0,0.02,0,0,0,0,-0.3,0.48,-0.78,-0.02,0.02,27,0.037037037037037,0
"2024",14,"00-0036450","Ke'Shawn Vaughn","RB","SF",0,0,2,0,4,7.66,0,0.01,0,0,0,0,0.4,0.82,-0.42,-0.01,0.01,24,0.0833333333333333,0
"2024",14,"00-0036297","Darrynton Evans","RB","CHI",0,0,3,0,3,16.54,0,0.01,0,0,0,0,0.3,1.71,-1.41,-0.01,0.01,17,0.176470588235294,0
"2024",14,"00-0036893","Najee Harris","RB","PIT",0,0,16,0,53,59.4,1,0.86,0,0,0,0,11.3,11.09,0.210000000000001,0.14,0.86,29,0.551724137931034,0
"2024",14,"00-0035700","Josh Jacobs","RB","GB",0,0,18,0,66,67.22,3,1.02,0,0,0,0,24.6,12.82,11.78,1.98,1.02,20,0.9,0
"2024",14,"00-0038797","Emanuel Wilson","RB","GB",0,0,1,0,7,4.59,0,0,0,0,0,0,0.7,0.47,0.23,0,0,20,0.05,0
"2024",14,"00-0038685","Chris Brooks","RB","GB",0,0,1,0,3,4.48,0,0.01,0,0,0,0,0.3,0.49,-0.19,-0.01,0.01,20,0.05,0
"2024",14,"00-0034184","Gus Edwards","RB","LAC",0,0,10,0,36,36.11,1,0.73,0,0,0,0,9.6,7.98,1.62,0.27,0.73,18,0.555555555555556,0
"2024",14,"00-0035250","Devin Singletary","RB","NYG",0,0,2,0,8,8.49,0,0,0,0,0,0,0.8,0.86,-0.0599999999999999,0,0,18,0.111111111111111,0
"2024",15,"00-0037263","Tyler Allgeier","RB","ATL",0,0,12,0,43,54.49,0,0.1,0,0,0,0,4.3,6.02,-1.72,-0.1,0.1,34,0.352941176470588,0
"2024",15,"00-0032764","Derrick Henry","RB","BAL",0,0,14,0,67,66.45,0,0.6,0,0,0,0,6.7,10.24,-3.54,-0.6,0.6,24,0.583333333333333,0
"2024",15,"00-0039796","Rasheen Ali","RB","BAL",0,0,8,0,32,35.75,0,0.12,0,0,0,0,3.2,4.32,-1.12,-0.12,0.12,24,0.333333333333333,0
"2024",15,"00-0035594","Travis Homer","RB","CHI",0,0,3,0,7,16,0,0.01,0,0,0,0,0.7,1.66,-0.96,-0.01,0.01,22,0.136363636363636,0
"2024",15,"00-0036414","Cam Akers","RB","MIN",0,0,10,0,24,38.96,1,0.62,0,0,0,0,8.4,7.64,0.760000000000001,0.38,0.62,29,0.344827586206897,0
"2024",15,"00-0037276","Ty Chandler","RB","MIN",0,0,1,0,4,3.51,0,0.01,0,0,0,0,0.4,0.38,0.02,-0.01,0.01,29,0.0344827586206897,0
"2024",15,"00-0035261","Tony Pollard","RB","TEN",0,0,17,0,45,69.87,1,0.55,0,0,0,0,8.5,10.31,-1.81,0.45,0.55,21,0.80952380952381,0
"2024",15,"00-0036906","Khalil Herbert","RB","CIN",0,0,1,0,4,4.59,0,0,0,0,0,0,0.4,0.47,-0.07,0,0,26,0.0384615384615385,0
"2024",15,"00-0036139","Rico Dowdle","RB","DAL",0,0,25,0,149,105.73,0,0.14,0,0,0,0,14.9,11.44,3.46,-0.14,0.14,34,0.735294117647059,0
"2024",15,"00-0034208","Mike Boone","RB","CAR",0,0,2,0,14,8.99,0,0,0,0,0,0,1.4,0.92,0.48,0,0,12,0.166666666666667,0
"2024",15,"00-0038797","Emanuel Wilson","RB","GB",0,0,3,0,9,12.67,0,0.01,0,0,0,0,0.9,1.35,-0.45,-0.01,0.01,30,0.1,0
"2024",15,"00-0038636","Kenny McIntosh","RB","SEA",0,0,3,0,9,15.33,0,0.01,0,0,0,0,0.9,1.57,-0.67,-0.01,0.01,14,0.214285714285714,0
