season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2023,00-0039139,Jahmyr Gibbs,RB,72,182,156.55648008098058,524.635911653575,2.1743955566802855,2.882614899195467
2023,00-0039144,Luke Musgrave,TE,46,NA,88.1225129168015,NA,1.9157068025391628,NA
2023,00-0039146,Jayden Reed,WR,95,NA,202.578463955855,NA,2.132404883745842,NA
2023,00-0039150,Bryce Young,QB,NA,40,NA,71.20690114943125,NA,1.7801725287357812
2023,00-0039163,C.J. Stroud,QB,NA,41,NA,92.64930127517414,NA,2.259739055492052
2023,00-0039165,Zach Charbonnet,RB,40,108,64.12089733348694,287.97226413106546,1.6030224333371734,2.6664098530654208
2024,00-0029263,Russell Wilson,QB,NA,43,NA,104.98788707953645,NA,2.441578769291545
2024,00-0030035,Adam Thielen,WR,62,NA,101.35481766605517,NA,1.6347551236460511,NA
2024,00-0030061,Zach Ertz,TE,93,NA,209.39883715505107,NA,2.251600399516678,NA
2024,00-0030279,Keenan Allen,WR,123,NA,256.1991546457282,NA,2.082919956469335,NA
2024,00-0030506,Travis Kelce,TE,134,NA,313.6260537419438,NA,2.3404929383727144,NA
2024,00-0030564,DeAndre Hopkins,WR,80,NA,156.51403722708346,NA,1.9564254653385433,NA
2024,00-0030565,Geno Smith,QB,NA,53,NA,82.94904797439813,NA,1.5650763768754365
2024,00-0031236,Brandin Cooks,WR,54,NA,110.19674428208964,NA,2.0406804496683266,NA
2024,00-0031381,Davante Adams,WR,142,NA,328.04929406281724,NA,2.3102062962170224,NA
2024,00-0031408,Mike Evans,WR,110,NA,232.23965385675547,NA,2.111269580515959,NA
2024,00-0031544,Amari Cooper,WR,85,NA,165.7815989459632,NA,1.9503717523054493,NA
2024,00-0031588,Stefon Diggs,WR,64,NA,126.55450957844732,NA,1.9774142121632394,NA
2024,00-0031687,Raheem Mostert,RB,NA,85,NA,219.48298221611185,NA,2.582152731954257
2024,00-0032104,Ameer Abdullah,RB,47,66,108.16047534841346,171.72454087430378,2.3012867095407117,2.601886982943997
2024,00-0032211,Tyler Lockett,WR,74,NA,140.68951303421636,NA,1.9012096355975185,NA
2024,00-0032385,Sterling Shepard,WR,52,NA,96.51218080426031,NA,1.856003477005006,NA
2024,00-0032392,Austin Hooper,TE,59,NA,130.27299212425714,NA,2.2080168156653754,NA
2024,00-0032764,Derrick Henry,RB,NA,325,NA,810.484716753941,NA,2.4937991284736643
2024,00-0032775,Demarcus Robinson,WR,66,NA,153.8176652532709,NA,2.3305706856556196,NA
2024,00-0033009,Tyler Boyd,WR,58,NA,97.70843016718561,NA,1.6846281063307864,NA
2024,00-0033040,Tyreek Hill,WR,123,NA,239.98320953246719,NA,1.9510830043290017,NA
2024,00-0033045,Ezekiel Elliott,RB,NA,74,NA,178.38772406973294,NA,2.410644919861256
2024,00-0033090,Hunter Henry,TE,97,NA,202.9601743867388,NA,2.0923729318220494,NA
2024,00-0033280,Christian McCaffrey,RB,NA,50,NA,120.0845546068449,NA,2.401691092136898
2024,00-0033282,Curtis Samuel,WR,46,NA,85.3189217314357,NA,1.854759168074689,NA
2024,00-0033288,George Kittle,TE,94,NA,216.23004639154533,NA,2.300319642463248,NA
